"N:METH:cg16159491:MMP11:TssD253:Island"	"N:METH:cg20420826:ATP1A1:TssD1:Island"	"N:METH:cg08473199:WNT10A:TssU70:Island"
"1"	-0.428869298535482	-0.603615232356184	-0.588685105659427
"2"	-0.457949452203801	-0.557809343720231	-0.572353446804669
"3"	-0.435992318986594	-0.528690851091772	-0.588619779024008
"4"	-0.424091214641547	-0.590440972350268	-0.589842320343992
"5"	-0.454384266529095	-0.537135889557102	-0.588783095612555
"6"	-0.446180664028124	-0.552772347444465	-0.594746484188664
"7"	-0.450488290430964	-0.519420075532053	-0.555517839619536
"8"	-0.47419493744318	-0.58015679217471	-0.562237150691207
"9"	-0.446482050858356	-0.465041534516183	-0.585171465911532
"10"	-0.408514661147319	-0.43153912858661	-0.591886110794959
"11"	-0.483809912417437	-0.635999139857904	-0.497330472214155
"12"	-0.422525473303996	-0.575840439181319	-0.603192284910696
"13"	-0.39504781546472	-0.565368591484309	-0.565970101286581
"14"	-0.435565966885289	-0.545873689355898	-0.535406568286962
"15"	-0.467380654720599	-0.597204509823391	-0.578008866956659
"16"	-0.45050299222756	-0.595387888215737	-0.588895084130416
"17"	-0.435705633952958	-0.645269915417623	-0.599524660950742
"18"	-0.34170234651351	0.28803820226641	-0.591662133759237
"19"	-0.377096921820121	-0.370749865037947	-0.597681516594276
"20"	-0.474378709900639	-0.483485498524465	-0.582035787411418
"21"	-0.438866520221254	-0.608667242033666	-0.601041172130112
"22"	-0.431471516533102	-0.524577179021549	-0.57014167357691
"23"	-0.440549875931579	-0.529479054681869	-0.569675054752488
"24"	-0.465278297807267	-0.576013093301055	-0.558060912212634
"25"	-0.0907794330989365	-0.529876909827347	-0.580080654537091
"26"	-0.453899107241403	-0.509451176792534	-0.599025378808611
"27"	-0.4435931478271	-0.484949305191789	-0.586790633232275
"28"	-0.501106576113482	-0.550385216571599	-0.601773763684454
"29"	-0.500525855147911	-0.574714434052608	-0.596151006850173
"30"	-0.487154571143191	-0.563003980714017	-0.581961128399511
"31"	-0.495071488610527	-0.568341245024106	-0.59738754673489
"32"	-0.428928105721869	-0.598157860832366	-0.569185104986846
"33"	-0.460566371998017	-0.582791644175893	-0.118002031277061
"34"	-0.460772197150371	-0.512191122605731	-0.582847704165912
"35"	-0.436499530969181	-0.580141778772994	-0.58333298774331
"36"	-0.485155126806037	-0.0922887967077838	-0.574051939325564
"37"	-0.384741856050417	-0.594254376386169	-0.502519273541724
"38"	-0.464131557672723	0.275802279867753	-0.528491277309033
"39"	-0.452745016208561	-0.543403984773592	-0.582287761576606
"40"	-0.326478636137603	-0.479304266146519	-0.588321142976378
"41"	-0.442858057997264	-0.54344902497874	-0.602497022862308
"42"	-0.418070828935189	-0.50565278615835	-0.588927747448126
"43"	-0.45619993840879	-0.564617921398502	-0.596374983885895
"44"	-0.372620224756419	-0.516680129718857	-0.544174335997845
"45"	-0.499393816809963	-0.467068343747863	-0.591498817170689
"46"	-0.468306867906192	-0.521709619293765	-0.59462049710607
"47"	-0.507685630090515	-0.434751996553865	-0.588601114271031
"48"	-0.465006314570228	-0.567890842972621	-0.585736074689082
"49"	-0.333844236232561	-0.572965372752678	-0.582656390447899
"50"	-0.472158738614534	-0.561727841568145	-0.591704129453435
"51"	-0.475643064407957	-0.585591643595954	-0.594961128847898
"52"	-0.419474850510176	-0.592205047051915	-0.581018558374179
"53"	-0.423010632591688	-0.371635655739199	-0.560580653864511
"54"	-0.481023921962358	-0.567875829570905	-0.209375329475309
"55"	-0.452024628175321	-0.564460280680483	-0.58952968573163
"56"	-0.467851112211694	-0.534658678273939	-0.598218128242361
"57"	-0.358594710803145	-0.586867782741826	0.157303075131714
"58"	-0.470747366141248	-0.448932154474762	-0.519569525386091
"59"	-0.488859979548411	-0.611902630103495	-0.59405588832852
"60"	-0.51416912238967	-0.60172354373995	-0.598040813089081
"61"	-0.436308407613424	-0.518534284830801	-0.585642750924197
